Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
20/02/2012 00:00,36598.88,33350.56,33444.17,,1138.35,1037.32,1040.23
21/01/2012 00:00,35825.28,34054.13,35127.43,,1114.29,1059.2,1092.59
22/12/2011 00:00,34875.93,31841.83,34408.44,,1084.76,990.39,1070.22
22/11/2011 00:00,36149.96,32446.45,33097.84,,1124.39,1009.2,1029.46
23/10/2011 00:00,36272.15,32994.09,34515.14,,1128.19,1026.23,1073.54
23/09/2011 00:00,36632.05,31995.47,33089.93,,1139.38,995.17,1029.21
24/08/2011 00:00,38417.29,33487.26,36397.76,,1194.91,1041.57,1132.1
25/07/2011 00:00,37341.52,31443.03,35818.67,,1161.45,977.99,1114.09
25/06/2011 00:00,32252.6,29675.27,31889.1,,1003.17,923,991.86
26/05/2011 00:00,31057.21,29671.25,30260.25,,965.99,922.88,941.2
26/04/2011 00:00,30390.8,28725.78,30142.87,,945.26,893.47,937.55
27/03/2011 00:00,29626.36,28332.98,29374.18,,921.48,881.25,913.64
25/02/2011 00:00,28833.56,27787.61,28660.33,,896.82,864.29,891.44
26/01/2011 00:00,28248.23,26270.14,27956.83,,878.62,817.09,869.55
27/12/2010 00:00,29561.85,26745.96,27087.77,,919.48,831.89,842.52
27/11/2010 00:00,29168.17,27947.66,28679.42,,907.23,869.27,892.03
28/10/2010 00:00,28567.14,26586.04,28130.86,,888.54,826.92,874.97
28/09/2010 00:00,27906.18,26094.31,27044.48,,867.98,811.62,841.18
29/08/2010 00:00,26660.71,25520.52,26304.58,,829.24,793.78,818.16
30/07/2010 00:00,25855,23796.97,25638.43,,804.18,740.17,797.44
30/06/2010 00:00,26829.19,23816.87,24070.08,,834.48,740.79,748.66
31/05/2010 00:00,27995.91,26214.83,26504.84,,870.77,815.37,824.39
01/05/2010 00:00,27956.95,24694.24,26916.66,,869.56,768.08,837.2
01/04/2010 00:00,24915.62,23495.59,24825.48,,774.96,730.79,772.16
02/03/2010 00:00,24443.63,23296.09,23555.1,,760.28,724.59,732.65
31/01/2010 00:00,24242.45,21527.69,24015.15,,754.02,669.59,746.95
01/01/2010 00:00,23157.39,21429.95,21751.1,,720.28,666.55,676.53
02/12/2009 00:00,23657.24,21700.8,21825.41,,735.82,674.97,678.85
02/11/2009 00:00,23332.44,20382.42,23144.27,,725.72,633.96,719.87
03/10/2009 00:00,21776.16,20100.58,20425.33,,677.31,625.2,635.3
03/09/2009 00:00,20345.02,19068.79,20216.39,,632.8,593.11,628.8
04/08/2009 00:00,19376.45,18071.86,19295.72,,602.67,562.1,600.16
05/07/2009 00:00,18713.38,17928.69,18155.32,,582.05,557.64,564.69
05/06/2009 00:00,19676.25,17932.67,18360.22,,612,557.77,571.07
06/05/2009 00:00,19824.35,18913.28,19518.47,,616.61,588.27,607.09
06/04/2009 00:00,20268.45,18771.54,19176.11,,630.42,583.86,596.44
07/03/2009 00:00,21953.96,19243.12,19281.16,,682.84,598.53,599.71
05/02/2009 00:00,22507.96,19155.89,21430.42,,700.08,595.81,666.56
06/01/2009 00:00,21316.45,17659.44,20137.61,,663.02,549.27,626.35
07/12/2008 00:00,19668.77,16496.03,18725.27,,611.77,513.08,582.42
07/11/2008 00:00,17673.06,14923.98,16549.38,,549.69,464.19,514.74
08/10/2008 00:00,17718.92,13976.52,15115.77,,551.12,434.72,470.15
08/09/2008 00:00,16410.48,13506.63,16370.9,,510.42,420.1,509.19
09/08/2008 00:00,14864.52,13431.67,14663.16,,462.34,417.77,456.08
10/07/2008 00:00,15823.15,14262.01,14332.68,,492.15,443.6,445.8
10/06/2008 00:00,15305.62,14176.02,15072.93,,476.06,440.92,468.82
11/05/2008 00:00,15255.66,14181.9,14560.09,,474.5,441.11,452.87
11/04/2008 00:00,15499.63,13735.21,14561.44,,482.09,427.21,452.91
12/03/2008 00:00,16483.17,14237.64,15128.59,,512.68,442.84,470.55
11/02/2008 00:00,16002.9,14723.41,15590.46,,497.75,457.95,484.92
12/01/2008 00:00,15252.25,14095.08,15204.98,,474.4,438.41,472.93
13/12/2007 00:00,14759.9,12525.2,14719.95,,459.08,389.58,457.84
13/11/2007 00:00,12997.37,12126.27,12762.96,,404.26,377.17,396.97
14/10/2007 00:00,12953.44,11802.82,12386.79,,402.9,367.11,385.27
14/09/2007 00:00,11914.85,11214.27,11848.1,,370.59,348.8,368.52
15/08/2007 00:00,11324.36,10456.82,11251.28,,352.23,325.24,349.95
16/07/2007 00:00,10798.43,10350.72,10796.15,,335.87,321.94,335.8
16/06/2007 00:00,10735.07,10299.46,10545.93,,333.9,320.35,328.02
17/05/2007 00:00,10905.28,10513.17,10670.51,,339.19,327,331.89
17/04/2007 00:00,11165.58,10742.79,10773.8,,347.29,334.14,335.1
18/03/2007 00:00,11174.22,10677.55,11160.23,,347.56,332.11,347.12
16/02/2007 00:00,11271.23,10592.8,10830.84,,350.57,329.47,336.88
17/01/2007 00:00,11087.42,10149.18,11018.76,,344.86,315.67,342.72
18/12/2006 00:00,10593.15,10047.1,10238.84,,329.48,312.5,318.46
18/11/2006 00:00,10665.18,10117.93,10149.77,,331.72,314.7,315.69
19/10/2006 00:00,10729.89,9865.05,10533.15,,333.74,306.84,327.62
19/09/2006 00:00,10413.03,9559.95,10193.33,,323.88,297.35,317.05
20/08/2006 00:00,10921.43,9764.94,10050.99,,339.69,303.72,312.62
21/07/2006 00:00,11246.02,10397.62,10475.69,,349.79,323.4,325.83
21/06/2006 00:00,11891.85,9964.46,10911.13,,369.88,309.93,339.37
22/05/2006 00:00,11506.38,9512.63,10098.64,,357.89,295.88,314.1
22/04/2006 00:00,12498.52,11138.09,11263.56,,388.75,346.43,350.34
23/03/2006 00:00,11639.96,10053.56,11436.05,,362.04,312.7,355.7
21/02/2006 00:00,10470.74,9978.6,10135.76,,325.68,310.37,315.26
22/01/2006 00:00,10548.92,9897.69,10252.58,,328.11,307.85,318.89
23/12/2005 00:00,10333.27,9283.05,10057.32,,321.4,288.74,312.82
23/11/2005 00:00,9874.24,8969.89,9330.72,,307.12,278.99,290.22
24/10/2005 00:00,9295.84,8328.88,9204.76,,289.13,259.06,286.3
24/09/2005 00:00,8858.97,8326.18,8495.07,,275.54,258.97,264.23
